code,date,elect,gas,heat,watercool,waterhot
A14003101,202205,61194,0,0,3978,1084
A14070302,202206,233194,0,0,8411,0
A14019001,202208,63041,0,0,5652,0
A10023858,202208,150913,0,0,4993,0
A14010003,202208,170455,0,0,9037,0
A10024333,202208,636628,0,0,21282,0
A14003106,202208,450200,0,0,15325,3873
A14006001,202209,77849,0,0,4660,0
A14003004,202209,98358,0,0,5999,1662
A14003105,202209,238067,0,769,16144,3597
A14077902,202209,703496,0,0,14239,0
A10027071,202209,89280,0,0,2064,0
A14024001,202209,58538,0,0,6776,0
A14019001,202210,37272,0,0,5630,0
A14006001,202210,52152,0,0,4427,0
A14004002,202210,277477,0,0,41245,0
A14005001,202210,83851,0,0,3664,0
A14085002,202210,135944,0,0,8047,1592
A14074101,202210,99605,0,0,5050,0
A10025533,202210,127967,0,0,7830,0
A10025898,202210,67946,0,0,3220,0
A14007001,202210,93716,0,0,5750,0
A14010003,202210,242821,0,0,0,0
A14009001,202210,289431,0,85,14595,3911
A14075201,202210,202313,0,111982,5429,0
A14001101,202210,65212,0,0,2846,0
A10026922,202210,108301,0,30,3799,1070
A10024333,202210,374084,0,0,20414,0
A14002501,202210,444283,0,161,14886,4876
A14088201,202210,147810,0,20,3699,1088
A14001303,202210,185714,0,6540,7710,2243
A10024691,202210,367219,6874,158,14895,4477
A14003101,202210,61861,0,0,3801,968
A10027908,202210,342805,0,15156,9072,2478
A14086101,202210,97864,0,0,0,1779
A10025192,202210,611603,0,0,9816,0
A14024001,202210,50207,0,0,0,0
A14082601,202210,74579,0,0,4356,0
A14019001,202211,38983,0,0,0,0
A10023798,202211,113839,0,0,5571,0
A14085002,202211,133707,0,0,7774,1776
A14085101,202211,67268,0,0,4245,0
A14074101,202211,95640,0,0,5199,0
A10023858,202211,98753,0,0,5052,0
A14083101,202211,56030,0,0,3381,0
A14010003,202211,147549,0,0,8872,0
A14010002,202211,90815,0,0,3284,0
A10027901,202211,75790,0,0,3994,0
A14001101,202211,61551,0,0,2854,0
A14001201,202211,87538,0,0,4216,0
A10026759,202211,123896,0,0,4592,0
A10026922,202211,99105,0,88,3703,1192
A10024333,202211,355192,0,0,19579,0
A14002501,202211,365361,0,444,14593,5452
A14001303,202211,157184,0,16806,7522,2457
A10024691,202211,351419,6618,377,15706,5268
A14072701,202211,481612,0,786965,36296,12706
