code,date,elect,gas,heat,watercool,waterhot
A15720001,202205,254654,0,0,14657,0
A15721001,202205,51916,0,0,3822,0
A15721005,202205,115054,4900,0,0,0
A15728011,202205,313327,0,22,21415,5713
A10027403,202205,122851,0,6,6677,1991
A10026879,202205,329121,0,22,21647,6954
A10027371,202205,88237,0,4,6299,2344
A15728002,202205,121768,0,1948,7199,2465
A15728006,202205,277946,0,2562,18806,6136
A15728009,202205,615498,0,0,0,0
A15728003,202205,129725,0,1180,10902,3215
A15782501,202205,61000,0,0,0,0
A15728008,202205,292635,0,2246,22825,6866
A15779704,202205,53141,0,0,4767,0
A15722108,202205,113145,0,0,8181,0
A15785608,202205,127437,0,24276,9191,2803
A15785002,202205,44476,0,0,3333,0
A15722004,202205,94319,0,0,6471,0
A15785613,202205,196342,0,4670,0,5641
A15785507,202205,80115,0,2423,0,1786
A15778101,202205,157291,0,965,3566,3566
A15785601,202205,39726,0,3608,0,715
A15722003,202205,74560,0,0,10432,0
A15722007,202205,47170,0,0,0,0
A15785710,202205,186035,0,49,13044,3555
A15722104,202205,48114,0,0,0,0
A15786116,202206,68223,0,0,9680,0
A15786118,202206,85050,0,0,5749,0
A15786426,202206,130591,0,0,0,0
A15786314,202206,67908,0,0,5118,0
A15786420,202206,80936,0,0,0,0
A15786111,202206,62929,0,0,0,0
A15786104,202206,41565,0,0,6284,0
A15704028,202206,204484,0,0,0,0
A15704023,202206,111727,0,0,8605,0
A15786227,202206,132999,0,0,19182,0
A15704001,202206,44075,0,0,6143,0
A15786213,202206,64158,0,0,4668,0
A15786408,202206,58978,0,0,4187,0
A15783703,202206,63505,0,0,8873,0
A15784008,202206,98215,0,0,7123,1632
A15703002,202206,58544,0,0,4290,0
A15703309,202206,214281,0,704,15932,4135
A15703307,202206,188287,0,0,13801,3234
A15703001,202206,52292,0,0,7714,0
A15783905,202206,53782,0,0,0,0
A15703318,202206,80947,0,122,6979,1685
A15783902,202206,44550,0,0,0,0
A15776715,202206,24518,0,0,0,2845
A15701004,202206,54548,0,0,0,0
A15701601,202206,58147,0,0,4351,0
A15788302,202206,116344,0,0,7988,0
A15788901,202206,59543,0,0,0,0
A15792602,202206,699047,11420,0,35513,11420
A15701002,202206,65469,0,0,8300,0
A15780604,202206,251203,0,0,0,4191
A15780703,202206,157888,4840,0,2171,2171
A15780401,202206,143367,0,1,11336,2666
A15780602,202206,84428,0,0,6152,0
A15720001,202206,283603,0,0,15497,0
A15721001,202206,51601,0,0,3632,0
A15721006,202206,409592,0,2,27757,7127
A15721007,202206,316599,0,3,18701,4770
A15721010,202206,387671,0,2,23749,5760
A15722009,202206,79042,2601,0,3943,459
A10027433,202206,134870,0,0,9192,2580
A10027452,202206,155941,0,0,11277,3388
A10027687,202206,186589,0,0,10735,2715
A10024426,202206,481476,0,4,27759,6945
A15728010,202206,46945,0,0,6893,0
A15782501,202206,64230,0,0,6699,0
A15728004,202206,209420,0,544,12690,3069
A15784601,202206,47293,0,0,7356,0
A15785703,202206,53727,0,0,7358,0
A15722108,202206,115150,0,0,7795,0
A15722201,202206,44522,0,0,3052,0
A15785608,202206,129184,0,3281,8959,2320
A15722004,202206,96233,0,0,6310,0
A15785613,202206,207539,0,295,0,4473
A15722102,202206,55974,0,0,3395,0
A15722003,202206,79666,0,0,0,0
A15773501,202206,86006,0,0,0,0
A15722007,202206,45888,0,0,0,0
A15785710,202206,195866,0,0,12889,2860
A15722001,202206,40699,0,0,0,0
A15786116,202207,88823,0,0,0,0
A15704015,202207,95355,0,0,0,0
A15704025,202207,187271,0,0,19674,0
A15776001,202207,59461,0,0,3530,0
A15786314,202207,95718,0,0,5211,0
A15786111,202207,82290,0,0,10196,0
A15786424,202207,180588,0,0,7753,0
A15786312,202207,79801,0,0,4278,0
A15786227,202207,147024,0,0,0,0
A15785919,202207,127406,0,0,0,0
A15783703,202207,78958,0,0,0,0
A15703004,202207,229682,0,0,13814,2473
A15784008,202207,119466,0,0,7726,1413
A15703002,202207,72432,0,2417,4017,0
A15703308,202207,251324,9011,0,11877,3918
A15783806,202207,89954,0,0,4500,858
A15703204,202207,938828,0,0,37822,0
A15783701,202207,52957,0,0,0,0
A15784003,202207,53338,0,0,0,0
A15784201,202207,64521,0,0,0,0
A10023543,202207,65992,0,0,2969,0
A15770801,202207,177527,0,0,8812,2191
A15701003,202207,966100,0,0,51445,9352
A15770101,202207,75416,0,0,7070,0
A15791001,202207,76466,0,0,4427,0
A10024145,202207,93821,0,0,3294,0
A15780002,202207,156226,0,0,8372,1782
A15780703,202207,213170,5326,0,1811,1811
A15780401,202207,159935,0,0,9762,1710
A15780603,202207,309297,0,0,0,2700
A15780704,202207,332845,0,0,12909,3963
A15721001,202207,56976,0,0,3728,0
A15722010,202207,207242,0,0,8608,1797
A15721007,202207,343124,0,1,19858,4112
A15721008,202207,182642,0,0,7785,1637
A15722009,202207,101103,2961,0,4331,1510
A10027433,202207,176826,0,0,9387,2223
A10027452,202207,232323,0,0,11038,2751
A10026879,202207,596520,0,0,21777,5100
A10027371,202207,150634,0,0,6535,1813
A15721011,202207,142257,0,0,5554,1222
A15728002,202207,167390,0,0,7567,1684
A15728006,202207,437510,0,127,19535,4476
A15728009,202207,967164,0,0,0,0
A15728005,202207,222158,0,242,11405,2233
A15728010,202207,57295,0,0,0,0
A15728008,202207,457137,0,83,23555,4746
A15779704,202207,85113,0,0,4596,0
A15781201,202207,91319,0,0,0,0
A15785703,202207,72698,0,0,0,0
A15722304,202207,68217,0,0,8272,0
A15722201,202207,42709,0,0,3762,0
A15785002,202207,64084,0,0,3336,0
A15778101,202207,238090,0,0,2277,2277
A15785601,202207,41380,0,170,0,477
A15722003,202207,111274,0,0,10701,0
A15773501,202207,118396,0,0,10426,0
A15722007,202207,53287,0,0,0,0
A15785710,202207,277739,0,0,13743,2280
A15722306,202207,98085,0,0,4820,0
A15722001,202207,49389,0,0,0,0
A15786116,202208,102335,0,0,9783,0
A15786118,202208,130300,0,0,5892,0
A15786426,202208,201485,0,0,0,0
A15776001,202208,88712,0,0,3548,0
A15786321,202208,140187,0,0,0,0
A15786314,202208,105629,0,0,4854,0
A15786222,202208,121422,0,0,6373,0
A15786420,202208,126028,0,0,0,0
A15786111,202208,97598,0,0,0,0
A15786405,202208,70744,0,0,0,0
A15786424,202208,162964,0,0,8296,0
A15704003,202208,70904,0,0,3702,0
A15704002,202208,82213,0,0,4000,0
A15704001,202208,70508,0,0,5998,0
A15785919,202208,125474,0,0,0,0
A10024436,202208,129864,0,0,3194,0
A15783703,202208,103525,0,0,9305,0
A15703004,202208,277140,0,0,14024,2320
A15703309,202208,279418,0,0,16517,3756
A15703001,202208,82447,0,0,7595,0
A15783905,202208,92160,0,0,0,0
A15703318,202208,137181,0,0,7347,1378
A15783701,202208,71168,0,0,7133,0
A15788901,202208,91955,0,0,0,0
A15792602,202208,1041221,8242,0,38226,8242
A15701002,202208,85757,0,0,8429,0
A15770101,202208,83467,0,0,0,0
A15701007,202208,1303838,0,0,48752,10324
A10024145,202208,105625,0,0,3248,0
A15780604,202208,387298,0,0,0,3567
