code,date,elect,gas,heat,watercool,waterhot
A12287204,202201,359131,0,0,0,0
A12287203,202201,91082,0,0,10092,0
A12287202,202201,70670,0,0,4714,0
A12275501,202201,88406,0,0,3872,0
A12209001,202201,58521,0,0,6267,0
A10024086,202201,147450,0,0,7614,0
A12283603,202201,114373,0,0,0,0
A12283602,202201,108462,0,0,5534,0
A12283601,202201,81526,0,0,3690,0
A10027816,202201,435069,0,0,20119,0
A10025836,202201,281673,0,0,13589,0
A10025846,202201,568967,0,0,19895,0
A12284701,202201,53473,0,0,3015,0
A12285703,202201,357417,0,0,23085,16937431
A12204002,202201,79706,0,0,0,0
A12204004,202201,407741,0,0,21752,0
A12204006,202201,150559,0,0,8105,0
A12204001,202201,55977,0,0,2568,0
A12204003,202201,198973,0,0,11190,0
A12204102,202201,271694,0,238,12028,0
A12275201,202201,215608,0,0,12089,0
A12275202,202201,320974,0,0,16096,0
A10028056,202201,58672,0,0,2363,0
A10024026,202201,54231,0,0,0,0
A12281801,202201,49874,0,0,0,0
A12271402,202201,86130,0,0,3706,0
A12281702,202201,74372,0,0,5224,0
A12205001,202201,56341,0,0,3324,0
A12281701,202201,81737,0,0,7554,0
A12282201,202201,50065,0,0,0,0
A12282203,202201,157402,0,0,0,0
A12282102,202201,82258,0,0,3749,0
A12205004,202201,109597,0,0,6727,0
A12205003,202201,109174,0,0,6259,0
A12284501,202201,138720,258,0,5815,0
A12201103,202201,113838,0,0,6932,0
A12201001,202201,59879,0,0,3958,0
A12201102,202201,82711,0,0,4867,0
A12293002,202201,108670,0,0,0,0
A12201002,202201,293221,0,0,17445,0
A12290901,202201,261354,0,0,16005,0
A12201003,202201,358230,0,0,21565,0
A12201005,202201,115172,0,0,6682,0
A12201004,202201,97367,0,0,5858,0
A10025310,202201,397328,0,0,19508,0
A10025683,202201,190151,0,0,10843,0
A10026834,202201,293419,0,0,17095,0
A10024947,202201,223965,0,0,12250,0
A10023994,202201,63423,0,0,4361,0
A10024831,202201,748948,0,0,37541,0
A10024313,202201,10566732,0,0,320541,0
A12289401,202201,52699,0,0,0,0
A12208001,202201,75839,0,0,6871,0
A12208203,202201,59154,0,0,3787,0
A12208205,202201,132164,0,0,8859,0
A12208103,202201,89384,0,0,5527,0
A12208204,202201,129690,0,0,9065,0
A12208102,202201,70574,0,0,5369,0
A12208104,202201,78460,0,0,0,0
A12289402,202201,52288,0,0,3335,0
A12208101,202201,55031,0,0,2463,0
A10025659,202201,162040,0,0,6693,0
A12294102,202201,122621,0,0,8498,0
A41279902,202201,99400,0,31048,6575,2690
A12220002,202201,106693,0,23079,6307,2135
A41279917,202201,115299,0,40162,6886,2521
A41279927,202201,125062,0,29358,7411,3075
A41279924,202201,213252,0,38351,11051,4266
A41279915,202201,148996,0,49799,8586,3261
A41279925,202201,61675,0,16569,3845,1490
A41279922,202201,60138,0,17662,3642,1524
A12220005,202201,185811,0,41531,11692,4424
A41279910,202201,268050,0,60090,16227,5793
A41279913,202201,147374,0,34044,8965,3817
A41279905,202201,83361,0,24150,5178,2122
A41279916,202201,109564,0,27859,7227,2967
A41279923,202201,155177,0,35568,6961,2685
A41279912,202201,277650,0,57099,12166,4896
A41279920,202201,356092,0,74933,21828,8732
A12220004,202201,153680,0,48148,9721,3891
A41279908,202201,86461,0,24266,5238,1915
A41279931,202201,217269,0,42604,14781,5612
A41279918,202201,165089,0,54312,9148,3612
A41279904,202201,108290,0,30197,7437,3123
A41279929,202201,128961,0,31479,8532,2814
A41279914,202201,141327,0,32126,8584,3425
A41279906,202201,72969,0,18552,4781,1815
A41279911,202201,178485,0,40503,11654,3935
A41279930,202201,97174,0,15117,6497,2712
A41279903,202201,118003,0,30388,7150,2821
A41279907,202201,54440,0,12818,3444,1256
A12220001,202201,59595,0,16340,4087,1469
A41279928,202201,134310,0,17169,9097,3621
A41279901,202201,105488,0,25874,6261,2330
A41279932,202201,128599,0,308,7466,2799
A10025677,202201,73997,0,147,3588,1655
A10026842,202201,80961,0,303,4192,1472
A10026414,202201,42573,0,126,2094,820
A10025765,202201,114726,0,335,6437,2763
A10026376,202201,35872,0,136,2124,0
A12287204,202202,320169,0,0,33588,0
A12287203,202202,96857,0,0,0,0
A12287202,202202,78100,0,0,4941,0
A12275501,202202,78901,0,0,3367,0
A12209001,202202,49056,0,0,0,0
A10024086,202202,172464,0,0,7268,0
A12283603,202202,111401,0,0,0,0
A12283602,202202,99908,0,0,5686,0
A12283601,202202,63367,0,0,4001,0
A10027816,202202,431416,0,0,20567,0
A10025836,202202,279982,0,0,13675,0
A10025846,202202,506994,0,0,19971,0
A12284701,202202,50753,0,0,3894,0
A12285703,202202,323635,0,227142,20878,10262
A12204002,202202,79817,0,0,8763,0
A12204004,202202,363876,0,0,19772,0
A12204006,202202,135074,0,0,8133,0
A12204001,202202,55221,0,0,2465,0
A12204003,202202,199658,0,0,11358,0
A12204102,202202,284691,0,367,12068,0
A12275201,202202,189977,0,0,12438,0
A12275202,202202,316624,0,0,14267,0
A10028056,202202,57530,0,0,2535,0
A10024026,202202,55634,0,0,2671,0
A12281801,202202,49307,0,0,0,0
A12271402,202202,84746,0,0,3732,0
A12281702,202202,78304,0,0,4241,0
A12205001,202202,57242,0,0,2725,0
A12281701,202202,21037,0,0,0,0
A12282201,202202,54138,0,0,0,0
A12282203,202202,142993,0,0,19983,0
A12282102,202202,83354,0,0,3496,0
A12205004,202202,107849,0,0,6578,0
A12205003,202202,101903,0,0,6953,0
A12284501,202202,123818,0,0,6167,0
A12201103,202202,108086,0,0,6429,0
A12201001,202202,67972,0,0,3781,0
A12201102,202202,75963,0,0,5231,0
A12293002,202202,107350,0,0,0,0
A12201002,202202,292395,0,0,17443,0
A12290901,202202,233728,0,0,15810,0
A12201003,202202,320343,0,0,21343,0
A12201005,202202,115485,0,0,6781,0
A12201004,202202,96327,0,0,5848,0
A10025310,202202,358037,0,0,19637,0
A10025683,202202,189906,0,0,11249,0
A10026834,202202,296495,0,0,17162,0
A10024947,202202,224097,0,0,12280,0
A10023994,202202,63835,0,0,4237,0
A10024831,202202,678336,0,0,33634,0
A10024313,202202,319772,0,0,12830,0
A12289401,202202,41611,0,0,0,0
A12208001,202202,15547,0,0,0,0
A12208203,202202,52416,0,0,3334,0
A12208205,202202,125654,0,0,8117,0
A12208103,202202,105063,0,0,4865,0
A12208204,202202,123309,0,0,8505,0
A12208102,202202,78567,0,0,4926,0
A12208104,202202,85689,0,0,0,0
A12289402,202202,53981,0,0,3263,0
A12208101,202202,56081,0,0,2590,0
A12208105,202202,98716,0,0,5941,0
A10025659,202202,145550,0,0,5961,0
A12294102,202202,111541,0,0,8789,0
A41279902,202202,86351,0,26910,5813,2422
A12220002,202202,108257,0,19282,5584,1932
A41279917,202202,102214,0,33849,6191,2296
A41279927,202202,125677,0,24295,6575,2697
A41279924,202202,189004,0,37767,9873,3864
A41279915,202202,132177,0,42307,7688,2972
A41279925,202202,54382,0,14162,3379,1330
